0.27701	0.42657
0.59036	0.79801
0.44833	0.82053
0.25051	0.28555
0.65728	0.60159
0.20083	0.94651
0.09393	0.46733
0.41942	0.09467
0.30281	0.35362
0.71142	0.57459
0.30454	0.29871
0.14925	0.78834
0.32664	0.53289
0.19168	0.93852
0.62633	0.43260
0.54545	0.56568
0.74917	0.01615
0.22844	0.81913
0.91795	0.73302
0.55534	0.64216
0.01859	0.79771
0.00298	0.92894
0.91480	0.29168
0.06480	0.70025
0.08751	0.94449
0.23997	0.23592
0.45556	0.22880
0.10959	0.01417
0.32839	0.56013
0.06479	0.29344
0.96254	0.79256
0.04908	0.00411
0.93822	0.93014
0.56195	0.86713
0.92266	0.21118
0.29439	0.72485
0.41041	0.40483
0.00227	0.75399
0.00245	0.15723
0.29348	0.07781
0.37290	0.66509
0.48036	0.54548
0.33909	0.77607
0.32460	0.40530
0.13755	0.37219
0.82861	0.11452
0.82164	0.74665
0.25666	0.15565
0.62430	0.60334
0.12749	0.43784
